month,day,year,time,away,away_score,home,home_score,playoff
10,7,2010,11:30p,Duquesne University,1,Carnegie Mellon University,12,FALSE
10,14,2010,10:30p,University of Pittsburgh,7,Carnegie Mellon University,6,FALSE
10,28,2010,9:30p,Carnegie Mellon University,13,Slippery Rock - Green,0,FALSE
11,11,2010,10:30p,Carnegie Mellon University,9,La Roche College,5,FALSE
11,18,2010,11:30p,CCAC West,2,Carnegie Mellon University,7,FALSE
12,9,2010,9:30p,CCAC West,5,Carnegie Mellon University,6,FALSE
1,13,2011,11:30p,Carnegie Mellon University,8,Geneva College,4,FALSE
1,27,2011,9:30p,Slippery Rock - White,1,Carnegie Mellon University,6,FALSE
2,10,2011,8:30p,Grove City College,2,Carnegie Mellon University,6,FALSE
2,16,2011,9:30p,Carnegie Mellon University,7,CCAC South,1,FALSE
2,24,2011,9:30p,Carnegie Mellon University,12,Duquesne University,1,FALSE
3,3,2011,11:30p,Carnegie Mellon University,6,Slippery Rock - White,4,FALSE
3,23,2011,10:30p,Carnegie Mellon University,11,University of Pittsburgh,3,FALSE
3,27,2011,3:00p,Slippery Rock - Green,4,Carnegie Mellon University,12,FALSE
4,5,2011,9:30p,Slippery Rock - White,0,Carnegie Mellon University,7,TRUE
4,7,2011,9:30p,CCAC West,2,Carnegie Mellon University,5,TRUE
4,13,2011,9:30p,La Roche College,2,Carnegie Mellon University,3,TRUE
4,14,2011,10:30p,La Roche College,5,Carnegie Mellon University,2,TRUE
4,17,2011,5:00p,La Roche College,3,Carnegie Mellon University,2,TRUE